Seq		Group	Sub Group	Doc	AGK	Codey	Tab Name	Tab Nbr	Ret Value	Man Ret Value	Open	Close	Show	Special	SpecCol1	SpecCol2	Help
1	Language	Control				S:Control commands	Coding	0	0				T				
2	Language	Control		onstart	S:function onstart(idx as integer)	S:on start	Coding	0	0			onstartend	S				Called at the very start after the sprite and variables are created.
3	Language	Control		onstartend	S:endfunction	S:end	Coding	0	0		onstart						
4	Language	Control		onupdate	S:function onupdate(idx as integer)	S:on update	Coding	0	0			onupdateend	U				Called every frame for the sprite and every clone. Use "is clone" to check.
5	Language	Control		onupdateend	S:endfunction	S:end	Coding	0	0		onupdate						
6	Language	Control		onmessage	S:function onmessage[,T:1,S:](idx as integer,S:,,S:m ref as Msg)	S:on message ,T:	Coding	0	0			onmessageend	M				Called when [send] cmd is used with a message of the same name
7	Language	Control		onmessageend	S:endfunction	S:end	Coding	0	0		onmessage						
8	Language	Control					Coding	0	0								
9	Language	Control			S:_agkGetListItem(list,S:,,S:_agkFindListItemName(list,S:,,T:1,S:,,S:0))		Coding	0	0				X				
10	Language	Control					Coding	0	0								
12	Language	Control		function	S:function ,T:1:X:F,S:(idx as integer,S:,,S:list as integer)	S:function ,T:	Coding	0	0			endfunction	E				Called when [call] cmd is used with the name of this a function
13	Language	Control		endfunction	S:endfunction	S:end	Coding	0	0		function						
11	Language	Control			S:_agkGetListItem(list,S:,,N:1,S:)	S:param ,N:	Coding	0	3	3			F				Get the item in the parameter list sent to this [function] or [on message]
15	Language	Control		goto	S:_agkGetList(list,S:)	S:param list	Coding	0	1	1			P				Get the parameter list for performing list cmds
14	Language	Control		exitfunction	S:_agkGetListItem(list,S:,,N:1,S:)	S:param ,N:	Coding	0	1	1			X				
16	Language	Control		gosub	T:1:Y:F,S:(0,S:,,S:idx,S:,,L:3,S:)	S:call ,T:,S: with ,L:	Coding	0	0								Call a function and pass a list of parameters
18	Language	Control		end			Coding	0	0				X				
